Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Irvine Lenroot,R,WI-11,65th,1918-04-17,Elected U.S. senator,U.S. Congress,Other office,WI,1918
Murray Hulbert,D,NY-21,65th,1918-01-01,Appointed director of Port of New York City,U.S. Congress,Other office,NY,1918
John J. Fitzgerald,D,NY-07,65th,1917-12-31,Resumed practicing law,U.S. Congress,Private sector,NY,1917
Daniel Griffin,D,NY-08,65th,1917-12-31,Elected Kings County sheriff,U.S. Congress,Other office,NY,1917
Henry Bruckner,D,NY-22,65th,1917-12-31,Elected Bronx borough president,U.S. Congress,Other office,NY,1917
William Adamson,D,GA-04,65th,1917-12-18,Appointed federal judge,U.S. Congress,Other office,GA,1917
Mark Bacon,R,MI-02,65th,1917-12-13,His election was successfully contested & overturned,U.S. Congress,Election overturned,MI,1917
Augustus Gardner,R,MA-06,65th,1917-05-15,Joined the Army,U.S. Congress,Military service,MA,1917
Orrin Bleakley,R,PA-28,65th,1917-04-03,Convicted of spending too much money on his campaign,PoliticsPA,Other scandals,PA,1917
James Hay,D,VA-07,64th,1916-10-01,Appointed federal judge,New York Times,Other office,VA,1916
William Stephens,R,CA-10,64th,1916-07-22,Appointed California lieutenant governor,U.S. Congress,Other office,CA,1916
Joseph Johnson,D,SC-04,64th,1915-04-19,Appointed federal judge,Find a Grave,Other office,SC,1915
Eugene Kinkead,D,NJ-08,63rd,1915-02-04,"Elected Hudson County sheriff, right to vote in House challenged",Christian Science Monitor,Other office,NJ,1915
Timothy Ansberry,D,OH-05,63rd,1915-01-09,Appointed Ohio judge,U.S. Congress,Other office,OH,1915
Frank Willis,R,OH-08,63rd,1915-01-09,Elected Ohio governor,U.S. Congress,Other office,OH,1915
Winfield Hammond,D,MN-02,63rd,1915-01-06,Elected Minnesota governor,U.S. Congress,Other office,MN,1915
Denis O'Leary,D,NY-02,63rd,1914-12-31,Elected Queens district attorney,New York Times,Other office,NY,1914
Thomas Hardwick,D,GA-10,63rd,1914-11-02,To focus on his run for Senate,U.S. Congress,Other office,GA,1914
