,Consensual sex scandals,Election overturned,Health/family,Left early,Military service,Other,Other office,Other scandals,Private sector,Unwanted sexual contact
24,0.0,0.0,0.0,0.0,0.0,0.0,1919.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0
27,0.0,1921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1921.0,0.0,0.0,0.0
29,0.0,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1923.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1926.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,1929.0,0.0,0.0,0.0
34,0.0,1930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,1930.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1933.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,1933.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,1935.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,1937.0,0.0,0.0,0.0
43,0.0,0.0,0.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1938.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1939.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1941.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941.0,0.0
50,0.0,0.0,0.0,1942.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,1942.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1943.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.0,0.0
55,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,1945.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.0,0.0
60,0.0,0.0,0.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,1946.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,1947.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,1948.0,0.0,0.0,0.0
64,0.0,0.0,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,1949.0,0.0,0.0,0.0
66,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0
68,0.0,0.0,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,1951.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,1953.0,0.0,0.0,0.0
