,Member,Party,Year,State,Reason,Resignation Date
270,Ralph Harvey,R,1966,IN,Lost reelection; resigned early to receive higher pension,1966-12-30
271,Leo O'Brien,D,1966,NY,Retired; resigned early to receive higher pension,1966-12-30
272,Harold Cooley,D,1966,NC,Lost reelection; resigned early to receive higher pension,1966-12-30
273,Robert Secrest,D,1966,OH,Lost reelection; resigned early to receive higher pension,1966-12-30
274,Paul Dague,R,1966,PA,Retired; resigned early to receive higher pension,1966-12-30
275,John Kunkel,R,1966,PA,Retired; resigned early to receive higher pension,1966-12-30
276,Tom Murray,D,1966,TN,Lost reelection; resigned early to receive higher pension,1966-12-30
277,Clark Thompson,D,1966,TX,Retired; resigned early to receive higher pension,1966-12-30
278,A. Willis Robertson,D,1966,VA,Lost reelection bid; resigned to let successor start early,1966-12-30
279,Robert Griffin,R,1966,MI,Appointed U.S. senator,1966-05-10
280,Oren Harris,D,1966,AR,Appointed federal judge,1966-02-02
281,John Lindsay,R,1965,NY,Elected New York City mayor,1965-12-31
282,Harry Byrd Sr.,D,1965,VA,Health reasons,1965-11-10
283,James Roosevelt,D,1965,CA,Appointed to Johnson administration,1965-09-30
284,Albert Watson,D,1965,SC,Dem Party ostracized him; resigned to seek seat as Republican,1965-02-01
286,Hubert Humphrey,D,1964,MN,Elected vice president,1964-12-29
287,Edward Finnegan,D,1964,IL,Appointed Cook County judge,1964-12-06
288,Joseph Montoya,D,1964,NM,Elected U.S. senator,1964-11-03
289,Ross Bass,D,1964,TN,Elected U.S. senator,1964-11-03
290,Robert Hemphill,D,1964,SC,Appointed federal judge,1964-05-01
291,John Shelley,D,1964,CA,Elected San Francisco mayor,1964-01-07
292,Homer Thornberry,D,1963,TX,Appointed federal judge,1963-12-20
293,Robert Cook,D,1962,OH,Lost reelection bid & left early; unclear why,1962-12-13
294,Frank Smith,D,1962,MS,Appointed to Tennessee Valley Authority,1962-11-14
295,Hugh Addonizio,D,1962,NJ,Elected Newark mayor,1962-06-30
296,Lester Holtzman,D,1961,NY,Elected New York Supreme Court justice,1961-12-31
297,Frank Ikard,D,1961,TX,Took a job with American Petroleum Institute,1961-12-15
298,Paul Kilday,D,1961,TX,Appointed federal judge,1961-09-24
299,Thaddeus Machrowicz,D,1961,MI,Appointed federal judge,1961-09-18
300,Stewart Udall,D,1961,AZ,Appointed to Kennedy administration,1961-01-18
301,Lyndon Johnson,D,1961,TX,Elected vice president,1961-01-03
302,Albert Bosch,R,1960,NY,Elected Queens County judge,1960-12-31
303,John F. Kennedy,D,1960,MA,Elected president,1960-12-22
304,Quentin Burdick,D,1960,ND,Elected U.S. senator,1960-08-08
305,Isidore Dollinger,D,1959,NY,Elected Bronx district attorney,1959-12-31
306,Henry Latham,R,1958,NY,Elected New York Supreme Court justice,1958-12-31
307,Richard Wigglesworth,R,1958,MA,Appointed to Eisenhower administration,1958-11-13
308,Earl Chudoff,D,1958,PA,Elected Pennsylvania judge,1958-01-05
309,Sterling Cole,R,1957,NY,Took a job with International Atomic Energy Agency,1957-12-01
310,Samuel K. McConnell,R,1957,PA,Took a job with United Cerebral Palsy Associations,1957-09-01
311,Price Daniel,D,1957,TX,Elected Texas governor,1957-01-14
312,Arthur Klein,D,1956,NY,Elected New York Supreme Court justice,1956-12-31
313,Irwin Davidson,D,1956,NY,Elected New York judge,1956-12-31
314,Strom Thurmond,D,1956,SC,Fulfilled a campaign pledge to resign & have a competitive primary,1956-04-04
315,Sidney Fine,D,1956,NY,Elected New York Supreme Court justice,1956-01-02
